id          name         wallet      type          
----------  -----------  ----------  --------------
1           Ann Pacheco  502         0.344222097591
2           Kay Medina   862         0.566302075512
3           Wilma Payne  722         0.805802726253
4           Bette Brons  990         0.782263601007
5           Kyle Hysom   539         0.758445886058
6           Maria Grabo  670         0.991436600360
7           Linda Kanze  542         0.632264302599
8           Helen Terry  598         0.601468971859
9           Archie Keil  632         0.503082644888
10          Grace Thoma  580         0.980467674307
11          Luis Lebarr  737         0.433360371936
12          Brice Batso  622         0.604110137833
13          Lisa Garcia  718         0.415045317548
14          Julia Chick  857         0.984160933629
15          Sandra Harr  506         0.933825790840
16          Frank Chapm  702         0.963938829421
17          Jorge Bowie  647         0.724564683980
18          Patricia Th  758         0.603724998245
19          Harold John  975         0.333792068351
20          Kathleen Re  830         0.775154387640
21          Karen Ander  690         0.774645290614
22          Susan Snels  776         0.510551370206
23          Stephen Cro  501         0.991836326302
24          Angel Way    501         0.999232084300
25          Margaret Sh  590         0.513788927510
26          Doug Osborn  627         0.304799061253
27          Orville Moo  656         0.427505287944
28          Derrick Boh  901         0.339675596222
29          James Perki  534         0.972552543386
30          Sarah Topol  790         0.647853236089
31          Jess Mcneil  506         0.586846474566
32          Pamela Lipt  757         0.484873906462
33          Kelvin Ford  832         0.410143889682
34          Timothy Mil  717         0.837656658382
35          Jesus Drew   922         0.756697056375
36          Jim Beebe    646         0.414692651183
37          Stacie Serg  536         0.988618759202
38          Jose Weese   589         0.494597428624
39          Henry Coker  707         0.858747551579
40          Charlie For  989         0.561485629823
41          Yolanda Don  655         0.718411143101
42          Charita Del  755         0.613773415378
43          Geraldine S  628         0.486525318767
44          Robin Jorda  937         0.903643271950
45          Constance M  828         0.735781499983
46          Margaret Fr  973         0.716662042489
47          Gregory Add  824         0.465370521063
48          Donald Scot  555         0.946146673950
49          Mario Ayaia  763         0.608319516824
50          Nancy Engle  727         0.439730051361
51          Donald Camr  805         0.346955047418
52          Byron Dones  604         0.609037019547
53          Linda Orman  782         0.864029211059
54          Elaine Vern  658         0.425681051116
55          Doris Willi  970         0.652806176159
56          Martha Rhod  912         0.327501528348
57          Ernest Fosn  531         0.540642610426
58          Oliver Furr  694         0.399852255976
59          Helen Herro  566         0.877309575236
60          Mark Hebert  598         0.309379030176
61          Albert Herr  946         0.652287136138
62          Peter Wince  768         0.700942707362
63          Cary Philli  553         0.796804723814
64          Shelton Nel  725         0.313798964124
65          Brandon Fow  857         0.619071994177
66          Winifred Ro  722         0.837259781337
67          Thomas Smit  879         0.555208580775
68          Wesley Savi  951         0.719622880751
69          Jacqueline   919         0.936038177971
70          Carolyn Joh  746         0.335840005626
71          Jewel Sanez  591         0.793373057708
72          Kenneth Led  936         0.800352437874
73          Marsha Sauc  682         0.654444799344
74          William Wil  728         0.318325174217
75          Chris Ly     635         0.528920046809
76          Gary Ortega  703         0.957989248225
77          David Hende  862         0.392986067845
78          Desiree Tha  553         0.341645074511
79          Robert Carp  525         0.409124516602
80          Noel Stanel  973         0.839706709363
81          Ellen Nugen  525         0.451355649644
82          Paul Raffer  602         0.649923493743
83          William Ber  663         0.375313627995
84          Mary Lord    602         0.719824353647
85          Bruce Phela  501         0.636246177150
86          Mark Merrig  819         0.361760700665
87          Monte Darby  962         0.656980989613
88          Gwendolyn B  532         0.336804035027
89          James Brads  560         0.770490099135
90          Henry Figue  668         0.344593271162
91          William And  687         0.870345036629
92          June Jones   870         0.341439264049
93          Monte Torry  615         0.877479763738
94          Carolyn Dea  540         0.947074109277
95          Roger Mcqua  676         0.841606376692
96          Elvis Wilbu  852         0.390990660345
97          Dionna Haly  855         0.601216985268
98          Wendy Craig  764         0.636709659163
99          Margaret Ar  549         0.582095003140
100         Miranda Ric  803         0.778450627864
